known_developer,known_publisher,multi_player,single_player,co-op,mmo,in_app_purchases,achievements,positive_ratings,average_playtime,median_playtime,price,owners,owners
1,1,0,1,0,0,0,0,0.94,175,175,5.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.87,7,7,0.0,500000-1000000,750000
1,1,0,1,0,0,0,0,0.92,3,4,0.0,500000-1000000,750000
1,1,0,1,0,0,0,0,0.83,319,225,9.99,1000000-2000000,1500000
1,1,1,1,0,0,0,0,0.65,1255,634,19.99,2000000-5000000,3500000
1,1,1,1,0,0,0,0,0.73,508,112,14.99,2000000-5000000,3500000
0,0,0,1,0,0,0,0,0.8,0,0,6.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.82,337,404,6.99,200000-500000,350000
0,0,0,1,0,0,0,0,0.81,0,0,6.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.63,0,0,6.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.83,37,71,16.99,200000-500000,350000
0,0,1,1,0,0,0,0,0.54,0,0,10.99,0-20000,10000
0,0,1,1,0,0,0,0,0.23,0,0,10.99,0-20000,10000
0,1,0,1,0,0,0,0,0.31,2,2,3.99,0-20000,10000
0,0,0,1,0,0,0,0,0.58,0,0,10.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.6,0,0,10.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.53,0,0,3.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.65,203,203,2.99,50000-100000,75000
0,0,0,1,0,0,0,0,0.56,0,0,6.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.88,52,52,6.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.17,0,0,6.99,20000-50000,35000
1,0,0,1,0,0,0,0,0.69,0,0,6.99,50000-100000,75000
1,0,0,1,0,0,0,0,0.76,0,0,4.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.78,0,0,5.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.37,0,0,4.99,20000-50000,35000
0,0,1,1,0,0,0,0,0.51,0,0,4.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.27,0,0,4.99,20000-50000,35000
0,0,0,1,0,0,0,0,0.77,0,0,6.99,100000-200000,150000
0,0,0,1,0,0,0,0,0.7,0,0,4.99,0-20000,10000
1,1,0,1,0,0,0,0,0.93,446,256,6.99,500000-1000000,750000
0,1,0,1,0,0,0,0,0.67,88,147,4.99,200000-500000,350000
0,1,1,1,1,0,0,0,0.42,0,0,6.99,50000-100000,75000
1,1,0,1,0,0,0,0,0.87,197,119,6.99,1000000-2000000,1500000
0,1,0,1,0,0,0,0,0.64,413,417,6.99,500000-1000000,750000
0,0,1,1,0,0,0,52,0.92,121,121,3.99,0-20000,10000
1,1,1,1,0,0,0,71,0.68,12,13,0.0,500000-1000000,750000
1,1,0,1,0,0,0,0,0.71,682,682,8.99,200000-500000,350000
1,1,1,1,1,0,0,57,0.9,542,239,13.99,500000-1000000,750000
1,1,1,1,0,0,0,0,0.97,414,496,8.99,200000-500000,350000
1,1,1,1,0,0,0,0,0.97,565,924,5.99,200000-500000,350000
1,1,1,1,0,0,0,0,0.9,67,41,5.99,500000-1000000,750000
1,1,0,1,0,0,0,0,0.87,307,312,8.59,200000-500000,350000
1,1,0,1,0,0,0,0,0.84,126,229,8.59,500000-1000000,750000
1,1,0,1,0,0,0,0,0.77,205,205,8.59,200000-500000,350000
1,1,1,1,0,0,0,0,0.78,0,0,8.59,200000-500000,350000
1,1,0,1,0,0,0,0,0.86,28,28,4.29,200000-500000,350000
1,1,0,1,0,0,0,0,0.93,22,22,8.59,200000-500000,350000
1,1,0,1,0,0,0,0,0.44,0,0,8.59,200000-500000,350000
0,1,0,1,0,0,0,0,0.87,167,167,8.59,200000-500000,350000
0,1,1,1,0,0,0,0,0.94,2,2,4.29,100000-200000,150000
0,1,1,1,0,0,0,0,0.5,20,20,4.29,100000-200000,150000
1,1,0,1,0,0,0,0,0.75,29,29,4.29,20000-50000,35000
1,1,0,1,0,0,0,0,0.83,360,476,8.59,500000-1000000,750000
1,1,1,1,1,0,0,0,0.85,1349,1936,8.59,500000-1000000,750000
1,1,0,1,0,0,0,0,0.91,355,448,4.29,200000-500000,350000
1,1,0,1,0,0,0,0,0.67,0,0,4.29,0-20000,10000
0,1,0,1,0,0,0,0,0.87,396,396,8.59,200000-500000,350000
1,1,0,1,0,0,0,0,0.86,69,69,4.29,100000-200000,150000
0,1,1,1,0,0,0,0,0.65,134,134,8.59,50000-100000,75000
1,1,1,1,1,0,0,0,0.86,0,0,4.29,100000-200000,150000
0,1,1,1,0,0,0,0,0.75,0,0,4.29,50000-100000,75000
0,1,0,1,0,0,0,0,0.87,0,0,4.29,20000-50000,35000
0,1,0,1,1,0,0,0,0.92,476,476,8.59,100000-200000,150000
0,0,1,1,0,0,0,0,0.87,1812,1812,8.69,200000-500000,350000
0,1,0,1,0,0,0,0,0.92,6679,6679,8.59,200000-500000,350000
0,1,0,1,0,0,0,0,0.8,19,19,8.59,200000-500000,350000
1,1,0,1,0,0,0,0,0.89,346,346,8.59,100000-200000,150000
0,0,0,1,0,0,0,25,0.81,0,0,5.79,20000-50000,35000
